track len: 1
codec: 0x1005
time: 25.78025, note: 0.64628094
time: 25.840416, note: 0.7267753
time: 25.9005, note: 0.9856383
time: 25.960417, note: 1.4601661
time: 26.0205, note: 0.59405684
time: 26.080416, note: 1.1065286
time: 26.140417, note: 0.95754653
time: 26.194584, note: 0.9048032
time: 26.979082, note: 1.2909997
time: 27.040417, note: 1.2974751
time: 27.100416, note: 1.3622715
time: 27.1605, note: 0.74119866
time: 27.220417, note: 1.0596383
time: 27.280416, note: 1.4016861
time: 27.340416, note: 0.76271546
time: 27.397, note: 1.0113024
time: 27.460417, note: 1.2503808
time: 27.68075, note: 1.391934
time: 27.740416, note: 1.4061078
time: 27.800417, note: 1.3784142
time: 27.859667, note: 1.2449561
time: 27.9205, note: 0.67727697
time: 27.980417, note: 1.3302556
time: 28.040417, note: 1.4084123
time: 28.096333, note: 1.1219233
time: 28.340416, note: 0.9367434
time: 28.400415, note: 1.2518866
time: 28.6405, note: 1.2542596
time: 28.760834, note: 1.2724564
time: 28.880499, note: 0.52731854
time: 28.9405, note: 0.653314
time: 29.000416, note: 1.4733531
time: 29.060417, note: 1.1110381
time: 29.120417, note: 1.377782
time: 29.180416, note: 1.3833108
time: 29.240416, note: 1.2569138
time: 29.300417, note: 1.1734759
time: 29.580666, note: 0.820128
time: 29.640417, note: 0.88301706
time: 29.7005, note: 0.99521005
time: 29.7605, note: 0.7313217
time: 29.8205, note: 1.0978913
time: 29.880499, note: 0.8733463
time: 29.940416, note: 1.1547259
time: 30.020416, note: 0.702888
time: 30.354166, note: 0.55377656
time: 30.7805, note: 0.8817143
time: 30.840416, note: 1.4658139
time: 30.9005, note: 0.89934963
time: 30.960583, note: 0.7505442
time: 31.020416, note: 1.427063
time: 31.080416, note: 1.1035472
time: 31.140417, note: 1.1342286
time: 31.200417, note: 1.2101256
time: 31.255499, note: 1.3860314
time: 31.312, note: 1.0044609
time: 31.36575, note: 1.4915683
time: 31.495417, note: 1.4445443
time: 31.545834, note: 0.83626056
time: 31.6005, note: 0.6211257
time: 31.6605, note: 0.6974407
time: 31.720417, note: 1.1886414
time: 31.7805, note: 0.8090829
time: 31.8405, note: 0.5608358
time: 32.400417, note: 0.75254333
time: 32.680748, note: 0.66947645
time: 32.740417, note: 1.2395213
time: 32.8005, note: 0.5705383
time: 32.8605, note: 0.9242674
time: 32.920498, note: 0.9616013
time: 32.980415, note: 1.0737194
time: 33.040417, note: 1.2587911
time: 33.1005, note: 0.6794847
time: 33.1605, note: 0.7514211
time: 33.2205, note: 0.5179559
time: 33.2805, note: 0.5464001
time: 33.40058, note: 0.80631447
time: 33.460415, note: 1.2368928
time: 33.5205, note: 0.89953166
time: 33.585835, note: 1.34845
time: 33.6405, note: 0.77489114
time: 33.700417, note: 1.2892363
time: 33.760498, note: 0.80089664
time: 33.8805, note: 0.7849679
time: 33.940414, note: 1.2895496
time: 34.0005, note: 1.0082319
time: 34.0605, note: 0.89435583
time: 34.1205, note: 0.7191514
time: 34.1805, note: 0.6642926
time: 34.2405, note: 1.0721253
time: 34.300415, note: 1.179659
